Date,Q_ke,Q_assim_base,Q_assim_Budyko,ET_ke,ET_assim_base,ET_assim_Budyko,S_ke,S_assim_base,S_assim_Budyko,G_ke,G_assim_base,G_assim_Budyko,Qs_ke,Qs_assim_base,Qs_assim_Budyko,Qb_ke,Qb_assim_base,Qb_assim_Budyko,Perc_ke,Perc_assim_base,Perc_assim_Budyko,omega_true,omega_mlr
2005-11-01,9.19516902435343,8.92687485584166,8.902618602784282,12.22039680480957,21.10198402404785,21.10198402404785,0.0,0.0,0.0,4.912781613470637,0.6568216895376667,0.3050251660288086,8.881587219238282,8.881587219238282,8.881587219238282,0.31358180511514705,0.04528763660337855,0.02103138354599921,0.0,0.0,0.0,6.927352422038077,6.750947029266299
2005-12-01,0.2947668968082382,0.03940930137226,0.018301509961728513,2.022517681121826,2.022517681121826,2.022517681121826,0.0,0.0,0.0,4.618014716662398,0.5715662342356777,0.2654328994782692,0.0,0.0,0.0,0.2947668968082382,0.03940930137226,0.018301509961728513,0.0,0.0,0.0,4.80377839224956,7.231426546348679
2006-01-01,0.27708088299974387,0.034293974054140655,0.01592597396869615,6.452980041503906,6.452980041503906,6.452980041503906,0.0,0.0,0.0,4.340933833662654,0.49737693703188685,0.2309797091259898,0.0,0.0,0.0,0.27708088299974387,0.034293974054140655,0.01592597396869615,0.0,0.0,0.0,7.558797891240399,6.915608281371342
2006-02-01,0.26045603001975925,0.02984261622191321,0.013858782547559389,1.1416821479797363,1.1416821479797363,1.1416821479797363,0.0,0.0,0.0,4.080477803642895,0.43281741060514783,0.20099854288143637,0.0,0.0,0.0,0.26045603001975925,0.02984261622191321,0.013858782547559389,0.0,0.0,0.0,8.959541899567151,6.916367744166936
2006-03-01,11.382076898199044,11.163217274616779,11.149308142553355,12.784312057495116,23.921560287475586,23.921560287475586,0.0,0.0,0.0,3.8356491354243207,0.37663771070859964,0.1749089320154259,11.13724822998047,11.13724822998047,11.13724822998047,0.24482866821857366,0.02596904463630887,0.012059912572886182,0.0,0.0,0.0,9.715790230305476,6.886144157643676
2006-04-01,27.0367399002739,26.829199214790954,26.817095488069366,16.701650238037107,43.50825119018555,43.50825119018555,0.0,0.0,0.0,3.6055101872988615,0.3277501358586234,0.15220575263982364,26.80660095214844,26.80660095214844,26.80660095214844,0.23013894812545924,0.02259826264251598,0.010494535920925554,0.0,0.0,0.0,5.465009919167582,6.676147916083175
2006-05-01,5.81489475918715,5.618229156100736,5.607696493107608,11.399641036987305,16.998205184936523,16.998205184936523,0.0,0.0,0.0,3.38917957606093,0.28520816822417416,0.13244944594717456,5.598564147949219,5.598564147949219,5.598564147949219,0.21633061123793168,0.019665008151517404,0.009132345158389418,0.0,0.0,0.0,6.452679112200993,6.481915022233833
2006-06-01,58.56121210268866,58.37497381821846,58.36580829488184,24.589465332031246,82.94732666015625,82.94732666015625,0.0,0.0,0.0,3.185828801497274,0.24818814798867628,0.11525750786323127,58.357861328125004,58.357861328125004,58.357861328125004,0.2033507745636558,0.01711249009345045,0.007946966756830473,0.0,0.0,0.0,8.17605982579872,6.339788505536532
2006-07-01,57.947302071839836,57.77104363262932,57.7630677942218,24.439038085937497,82.1951904296875,82.1951904296875,0.0,0.0,0.0,2.994679073407438,0.2159733263797461,0.10029708334258387,57.75615234375,57.75615234375,57.75615234375,0.19114972808983643,0.014891288879320575,0.006915450471793876,0.0,0.0,0.0,9.06490993029405,6.061182805695867
2006-08-01,61.82542659401382,61.65870424919216,61.65176367460993,25.411436462402342,87.05718231201172,87.05718231201172,0.0,0.0,0.0,2.8149983290029916,0.18793998861565506,0.08727852192471648,61.645745849609376,61.645745849609376,61.645745849609376,0.17968074440444629,0.012958399582784766,0.006017825000555032,0.0,0.0,0.0,9.032593976096448,6.006788009873422
