Basin,Kperc,Kb,Ke,Cqq,S_init,G_init,Smax,KGE
04122500,0.021,0.955,0.489,0.245,0.35,0.15,0.05,0.542
06919500,0.024,1.0,0.77,0.161,0.35,0.15,0.05,0.54
07340300,0.255,0.993,0.872,0.512,0.35,0.15,0.05,0.54
03028000,0.985,0.912,0.218,0.365,0.35,0.15,0.05,0.54
06918460,0.101,0.998,0.856,0.156,0.35,0.15,0.05,0.539
03498500,0.472,0.942,0.683,0.238,0.35,0.15,0.05,0.538
07184000,0.036,0.996,0.517,0.203,0.35,0.15,0.05,0.538
01055000,0.997,0.919,0.551,0.632,0.35,0.15,0.05,0.536
11381500,0.996,0.764,0.728,0.108,0.35,0.15,0.05,0.534
02027000,0.998,0.95,0.788,0.192,0.35,0.15,0.05,0.533
07167500,0.055,0.998,0.68,0.164,0.35,0.15,0.05,0.533
01022500,0.525,0.936,0.889,0.29,0.35,0.15,0.05,0.532
07068000,0.042,0.984,0.488,0.149,0.35,0.15,0.05,0.532
07335700,0.602,0.996,0.955,0.795,0.35,0.15,0.05,0.532
08378500,0.542,0.73,0.96,0.124,0.35,0.15,0.05,0.531
01510000,0.539,0.817,0.559,0.128,0.35,0.15,0.05,0.531
02149000,0.353,0.99,0.846,0.176,0.35,0.15,0.05,0.531
03078000,0.615,0.937,0.577,0.234,0.35,0.15,0.05,0.531
03473000,0.168,0.977,0.697,0.192,0.35,0.15,0.05,0.53
06479215,0.05,0.493,0.501,0.219,0.35,0.15,0.05,0.528
06339100,0.012,0.416,0.727,0.103,0.35,0.15,0.05,0.527
02235200,0.087,0.985,0.911,0.332,0.35,0.15,0.05,0.525
03021350,0.94,0.774,0.774,0.102,0.35,0.15,0.05,0.523
01543500,0.255,0.823,0.852,0.119,0.35,0.15,0.05,0.523
03010655,0.997,0.904,0.114,0.51,0.35,0.15,0.05,0.522
07056000,0.061,0.994,0.757,0.123,0.35,0.15,0.05,0.519
08200000,0.012,0.652,0.555,0.1,0.35,0.15,0.05,0.517
09494000,0.099,0.407,0.258,0.102,0.35,0.15,0.05,0.517
08196000,0.118,0.998,0.718,0.364,0.35,0.15,0.05,0.517
07197000,0.046,0.997,0.912,0.177,0.35,0.15,0.05,0.514
05514500,0.01,0.981,0.884,0.101,0.35,0.15,0.05,0.511
07071500,0.024,0.952,0.426,0.119,0.35,0.15,0.05,0.509
08014500,0.015,0.985,0.826,0.156,0.35,0.15,0.05,0.508
02245500,0.054,0.998,0.592,0.216,0.35,0.15,0.05,0.507
08164600,0.013,0.959,0.277,0.149,0.35,0.15,0.05,0.504
08109700,0.013,0.928,0.528,0.101,0.35,0.15,0.05,0.504
05556500,0.082,0.988,0.139,0.17,0.35,0.15,0.05,0.5
02246000,0.026,0.988,0.965,0.113,0.35,0.15,0.05,0.5
07060710,0.222,0.997,0.621,0.381,0.35,0.15,0.05,0.5
02374500,0.283,0.991,0.915,0.188,0.35,0.15,0.05,0.499
05444000,0.048,0.998,0.261,0.275,0.35,0.15,0.05,0.498
13338500,0.199,0.728,0.48,0.102,0.35,0.15,0.05,0.498
14096850,0.262,0.783,0.809,0.101,0.35,0.15,0.05,0.496
08176900,0.013,0.945,0.584,0.102,0.35,0.15,0.05,0.495
08175000,0.02,0.998,0.866,0.118,0.35,0.15,0.05,0.495
07057500,0.034,0.996,0.436,0.153,0.35,0.15,0.05,0.494
05291000,0.015,0.044,0.852,0.1,0.35,0.15,0.05,0.483
06224000,0.013,0.94,0.424,0.721,0.35,0.15,0.05,0.476
