like1,parKperc,parKb,parKe,parCqq,parBias,parS_init,parG_init,chain
15.086,0.584,0.794,0.8574,0.9995,0.3633,1223.0,1080.0,0.0
76.5,0.499,0.4048,0.3616,0.9995,0.7446,1006.0,10.91,0.0
0.087,0.1226,0.1979,0.941,0.9995,-0.2751,906.5,1333.0,0.0
99.06,0.2372,0.3691,0.2717,0.999,-0.1807,1040.0,1571.0,0.0
10000.0,0.4927,0.7485,0.2805,0.9995,-0.1293,256.8,1572.0,0.0
10000.0,0.56,0.95,0.291,1.0,-0.4639,31.78,1029.0,0.0
3.887,0.1481,0.965,0.9644,0.9995,0.526,1161.0,21.4,0.0
10000.0,0.93,0.524,0.09344,0.9995,0.4202,99.44,319.2,0.0
70.56,0.4165,0.82,0.3892,0.9995,0.653,840.0,1661.0,0.0
51.72,0.288,0.4895,0.4043,1.0,0.8647,418.8,780.0,0.0
4.977,0.2114,0.2832,0.6846,1.0,-0.2369,1168.0,1411.0,0.0
0.074,0.02385,0.5947,0.8306,1.0,0.1247,504.8,254.8,0.0
12.06,0.8096,0.4426,0.8403,0.999,-0.96,321.8,1344.0,0.0
4.785,0.3489,0.771,0.944,1.0,0.00518,1029.0,46.28,0.0
2.053,0.373,0.519,0.9536,0.9995,-0.899,1776.0,120.6,0.0
35.66,0.5522,0.3767,0.5195,0.9995,0.963,1269.0,356.8,0.0
2.371,0.0159,0.6543,0.9756,0.9995,0.5137,847.5,761.5,0.0
50.34,0.491,0.7305,0.45,0.999,-0.2952,298.0,786.5,0.0
10000.0,0.2507,0.579,0.2123,0.999,-0.725,899.5,1158.0,0.0
10000.0,0.729,0.2874,0.2998,0.9995,0.8506,1509.0,1499.0,0.0
10000.0,0.4312,0.2162,0.1919,0.9995,0.3506,1379.0,1506.0,0.0
75.0,0.1641,0.619,0.297,1.0,-0.793,1002.0,163.8,0.0
9.39,0.45,0.245,0.6636,0.999,-0.6216,138.8,1192.0,0.0
7.47,0.6016,0.771,0.972,1.0,-0.5356,834.0,944.5,0.0
21.42,0.9336,0.3025,0.7183,1.0,0.05542,276.0,1870.0,0.0
4.504,0.03604,0.2266,0.591,0.999,0.5474,219.0,1723.0,0.0
47.5,0.688,0.834,0.549,1.0,0.1073,673.0,892.0,0.0
70.9,0.4854,0.397,0.3672,0.999,0.346,122.44,58.94,0.0
10000.0,0.7134,0.5605,0.2842,1.0,0.8184,366.2,179.0,0.0
0.7163,0.01582,0.9326,0.8213,0.999,-0.857,1465.0,234.1,0.0
0.0905,0.2367,0.205,0.9062,0.9995,-0.975,1653.0,474.5,0.0
33.0,0.754,0.6616,0.622,0.9995,-0.9966,25.31,982.5,0.0
10000.0,0.6655,0.583,0.1881,0.999,-0.275,7.12,1439.0,0.0
10000.0,0.7954,0.8823,0.04785,0.9995,0.8906,808.5,711.0,0.0
10000.0,0.5244,0.923,0.0291,1.0,-0.3823,1893.0,14.88,0.0
96.3,0.528,0.705,0.3223,0.999,-0.987,374.5,648.0,0.0
28.56,0.668,0.8975,0.736,0.999,0.183,1422.0,111.25,0.0
10000.0,0.9556,0.7637,0.1581,0.9995,0.7207,965.5,602.0,0.0
10000.0,0.9595,0.1603,0.2898,0.9995,-0.1935,1429.0,1083.0,0.0
10000.0,0.8945,0.807,0.07837,0.9995,0.4004,518.5,674.0,0.0
71.3,0.8296,0.8516,0.469,0.9995,-0.834,159.2,1334.0,0.0
80.9,0.6636,0.3809,0.3696,0.9995,0.9824,548.0,909.0,0.0
82.2,0.2235,0.3105,0.292,0.9995,-0.669,159.0,130.6,0.0
